Número;Pokémon;Habilidade A;Habilidade B;Altas Habilidades A;Altas Habilidades B;Altas Habilidades C
111;Rhyhorn;Cabeça Dura;Pararraios;Imprudência;-;-
112;Rhydon;Cabeça Dura;Pararraios;Imprudência;-;-
113;Chansey;Graça Serena;Recuperação;Cura;-;-
114;Tangela;Clorofila;Proteção Vegetal;Regeneração;-;-
115;Kangaskhan;Fragmentado;Madrugar;Foco Interior;-;-
116;Horsea;Franco-Atirador;Velocidade na Água;Umidade;-;-
117;Seadra;Franco-Atirador;Velocidade na Água;Espículas Venenosas;Umidade;-
118;Goldeen;Revestimento Aquoso;Velocidade na Água;Pararraios;-;-
119;Seaking;Revestimento Aquoso;Velocidade na Água;Pararraios;-;-
120;Staryu;Iluminação;Recuperação;Análise;-;-
121;Starmie;Iluminação;Recuperação;Análise;-;-
122;Mr. Mime;Cacofonia;Filtro;Técnica;-;-
123;Scyther;Inabalável;Técnica;Hipercorte;-;-
124;Jynx;Obtusidade;Premonição;Ressocado;-;-
125;Electabuzz;Eletricidade Estática;-;Espírito Vigoroso;-;-
126;Magmar;Flamejante;-;Espírito Vigoroso;-;-
127;Pinsir;Hipercorte;Quebra Moldes;Arrogância;-;-
128;Tauros;Frenesi;Intimidar;Força Bruta;-;-
129;Magikarp;Velocidade na Água;-;Covardia;-;-
130;Gyarados;Velocidade na Água;-;Arrogância;Intimidar;-
131;Lapras;Absorção de Água;Concha;Hidratação;-;-
132;Ditto;Elasticidade;-;Impostor;-;-
133;Eevee;Adaptabilidade;Fuga;Antecipação;-;-
134;Vaporeon;Adaptabilidade;Fuga;Absorção de Água;Hidratação;-
135;Jolteon;Adaptabilidade;Fuga;Absorção de Voltagem;Ligeiro;-
136;Flareon;Adaptabilidade;Fuga;Absorção de Chamas;Tenacidade;-
137;Porygon;Download;Vestígio;Análise;-;-
138;Omanyte;Concha;Velocidade na Água;Fraqueza;-;-
139;Omastar;Concha;Velocidade na Água;Fraqueza;-;-
140;Kabuto;Armadura;Velocidade na Água;Fraqueza;-;-
141;Kabutops;Armadura;Velocidade na Água;Fraqueza;-;-
142;Aerodactyl;Cabeça Dura;Pressão;Tensão;-;-
143;Snorlax;Catagem;Gordura;Gula;Metabolização;-
144;Articuno;Pressão;-;Manto de Neve;-;-
145;Zapdos;Pressão;-;Eletricidade Elétrica;-;-
146;Moltres;Pressão;-;Flamejante;-;-
147;Dratini;-;-;Troca de Pele;Escama Maravilhosa;-
148;Dragonair;Troca de Pele;-;Escama Maravilhosa;-;-
149;Dragonite;Troca de Pele;-;Foco Interior;Múltiplas Escamas;-
150;Mewtwo;Pressão;-;Tensão;-;-
151;Mew;Sincronizar;-;-;-;-
152;Chikorita;Proteção Vegetal;-;Absorção de Seiva;-;-
153;Bayleef;Proteção Vegetal;-;Absorção de Seiva;-;-
154;Meganium;Proteção Vegetal;-;Absorção de Seiva;-;-
155;Cyndaquil;Absorção de Chamas;-;Flamejante;-;-
156;Quilava;Absorção de Chamas;-;Flamejante;-;-
157;Typhlosion;Absorção de Chamas;-;Flamejante;-;-
158;Totodile;Força Bruta;-;Hipercorte;-;-
159;Croconaw;Força Bruta;-;Hipercorte;-;-
160;Feraligatr;Força Bruta;-;Hipercorte;-;-
161;Sentret;Fuga;Visão Aguçada;Bisbilhoteiro;-;-
162;Furret;Fuga;Visão Aguçada;Bisbilhoteiro;-;-
163;Hoothoot;Insônia;Visão Aguçada;Olhos Cromados;-;-
164;Noctowl;Insônia;Visão Aguçada;Olhos Cromados;-;-
165;Ledyba;Covardia;Madrugar;Bisbilhoteiro;-;-
166;Ledian;Covardia;Madrugar;Bisbilhoteiro;Punho de Ferro;-
167;Spinarak;Franco-Atirador;Insônia;Intimidar;-;-
168;Ariados;Franco-Atirador;Insônia;Intimidar;-;-
169;Crobat;Foco Interior;-;Infiltrador;-;-
170;Chinchou;Absorção de Voltagem;Iluminação;Absorção de Água;-;-
171;Lanturn;Absorção de Voltagem;Iluminação;Absorção de Água;-;-
172;Pichu;Eletricidade Estática;-;Pararraios;-;-
173;Cleffa;Proteção Mágica;Tentação;Companheirismo;-;-
174;Igglybuff;Competição;Tentação;Companheirismo;-;-
175;Togepi;Entusiasmo;Graça Serena;Sorte;-;-
176;Togetic;Entusiasmo;Graça Serena;Sorte;-;-
177;Natu;Madrugar;Sincronizar;Espelho Mágico;-;-
178;Xatu;Madrugar;Sincronizar;Espelho Mágico;-;-
179;Mareep;Eletricidade Estática;-;Mais;-;-
180;Flaaffy;Eletricidade Estática;-;Mais;-;-
181;Ampharos;Eletricidade Estática;-;Mais;-;-
182;Bellossom;Clorofila;-;Cura;-;-
183;Marill;Gordura;Poder Gigantesco;Absorção de Selva;-;-
184;Azumarill;Gordura;Poder Gigantesco;Absorção de Selva;-;-
185;Sudowoodo;Cabeça Dura;Robustez;Covardia;-;-
186;Politoed;Absorção de Água;Umidade;Garoa;-;-
187;Hoppip;Clorofila;Proteção Vegetal;Infiltrador;-;-
188;Skiploom;Clorofila;Proteção Vegetal;Infiltrador;-;-
189;Jumpluff;Clorofila;Proteção Vegetal;Infiltrador;-;-
190;Aipom;Catagem;Fuga;Ligação;-;-
191;Sunkern;Clorofila;Poder Solar;Madrugar;-;-
192;Sunflora;Clorofila;Poder Solar;Madrugar;-;-
193;Yanma;Explosão de Velocidade;Olhos Compostos;Bisbilhoteiro;-;-
194;Wooper;Absorção de Água;Umidade;Desatenção;-;-
195;Quagsire;Absorção de Água;Umidade;Desatenção;-;-
196;Espeon;Adaptabilidade;Fuga;Espelho Mágico;Sincronizar;-
197;Umbreon;Adaptabilidade;Fuga;Foco Interior;Sincronizar;-
198;Murkrow;Insônia;Sorte;Travessura;-;-
199;Slowking;Obtusidade;Ritmo Próprio;Regeneração;-;-
200;Misdreavus;Levitação;-;-;-;-
201;Unown;Levitação;-;Escrita;-;-
202;Wobbuffet;Identificação;-;Telepatia;-;-
203;Girafarig;Foco Interior;Madrugar;Absorção de Selva;-;-
204;Pineco;Robustez;-;Carapaça;-;-
205;Forretress;Robustez;-;Carapaça;-;-
206;Dunsparce;Fuga;Graça Serena;Covardia;-;-
207;Gligar;Hipercorte;Manto de Areia;Metabolização;-;-
208;Steelix;Cabeça Dura;Robustez;Força Bruta;-;-
209;Snubbull;Fuga;Intimidar;Covardia;-;-
210;Granbull;Fuga;Intimidar;Covardia;Ligeiro;-
211;Qwilfish;Espículas Venenosas;Velocidade na Água;Intimidar;-;-
212;Scizor;Inabalável;Técnica;Hipercorte;Metal Leve;-
213;Shuckle;Gula;Robustez;Contrário;-;-
214;Heracross;Arrogância;Tenacidade;Fraqueza;-;-
215;Sneasel;Foco Interior;Visão Aguçada;Gatuno;-;-
216;Teddiursa;Catagem;Ligeiro;Mel;-;-
217;Ursaring;Catagem;Ligeiro;Tenacidade;Tensão;-
218;Slugma;Flamejante;Revestimento Magmático;Fraqueza;-;-
219;Magcargo;Flamejante;Revestimento Magmático;Fraqueza;-;-
220;Swinub;Manto de Neve;Obtusidade;Gordura;-;-
221;Piloswine;Manto de Neve;Obtusidade;Gordura;-;-
222;Corsola;Entusiasmo;Recuperação;Regeneração;-;-
223;Remoraid;Entusiasmo;Franco-Atirador;Humor Variável;-;-
224;Octillery;Entusiasmo;Franco-Atirador;Humor Variável;Ventosas;-
225;Delibird;Entusiasmo;Espírito Vigoroso;Insônia;-;-
226;Mantine;Absorção de Água;Velocidade na Água;Revestimento Aquoso;-;-
227;Skarmory;Robustez;Visão Açucada;Fraqueza;-;-
228;Houndour;Absorção de Chamas;Madrugar;Tensão;-;-
229;Houndoom;Absorção de Chamas;Madrugar;Tensão;-;-
230;Kingdra;Franco-Atirador;Velocidade na Água;Umidade;-;-
231;Phanpy;Catagem;-;-;Manto de Areia;-
232;Donphan;Catagem;-;-;Manto de Areia;Robustez
233;Porygon 2;Download;Vestígio;Análise;-;-
234;Stantler;Bisbilhoteiro;Intimidar;Absorção de Seiva;-;-
235;Smeargle;Ritmo Próprio;Técnica;Humor Variável;-;-
236;Tyrogue;Inabalável;Tenacidade;Espírito Vigoroso;-;-
237;Hitmontop;Inabalável;Tenacidade;Intimidar;Técnica;-
238;Smoochum;Obtusidade;Premonição;Hidratação;-;-
239;Elekid;Eletricidade Estática;-;-;Espírito Vigoroso;-
240;Magby;Flamejante;-;-;Espírito Vigoroso;-
241;Miltank;Fragmentado;Gordura;Absorção de Seiva;-;-
242;Blissey;Graça Serena;Recuperação;Cura;-;-
243;Raikou;Pressão;-;-;Foco Interior;-
244;Entei;Pressão;-;-;Foco Interior;-
245;Suicune;Pressão;-;-;Foco Interior;-
246;Lavritar;Tenacidade;-;-;Manto de Areia;-
247;Pupitar;Tenacidade;-;-;Manto de Areia;-
248;Tyranitar;Tenacidade;-;Convocar Areia;Tensão;-
249;Lugia;Pressão;-;-;Múltiplas Escamas;-
250;Ho-oh;Pressão;-;-;Regeneração;-
251;Celebi;Recuperação;-;-;-;-
252;Treecko;Leveza;-;-;Escama Maravilhosa;-
253;Grovyle;Leveza;-;-;Escama Maravilhosa;-
254;Sceptile;Leveza;-;-;Escama Maravilhosa;-
255;Torchic;Explosão de Velocidade;-;-;Arrogância;-
256;Combusken;Explosão de Velocidade;-;-;Arrogância;-
257;Blaziken;Explosão de Velocidade;-;-;Arrogância;-
258;Mudkip;Umidade;-;-;Hidratação;-
259;Marshtomp;Umidade;-;-;Hidratação;-
260;Swampert;Umidade;-;-;Hidratação;-
261;Poochyena;Fuga;Ligeiro;Covardia;-;-
262;Mightyena;Fuga;Ligeiro;Arrogância;Intimidar;-
263;Zigzagoon;Catagem;Gula;Ligeiro;-;-
264;Linoone;Catagem;Gula;Ligeiro;-;-
265;Wurmple;Polvilhar;-;-;-;-
266;Silcoon;Polvilhar;-;Troca de Pele;-;-
267;Beautifuly;Polvilhar;-;Olhos Compostos;Rivalidade;-
268;Cascoon;Polvilhar;-;Troca de Pele;-;-
269;Dustox;Polvilhar;-;Olhos Compostos;Rivalidade;-
270;Lotad;Prato de Chuva;Velocidade na Água;Ritmo Próprio;-;-
271;Lombre;Prato de Chuva;Velocidade na Água;Ritmo Próprio;-;-
272;Ludicolo;Prato de Chuva;Velocidade na Água;Ritmo Próprio;-;-
273;Seedot;Clorofila;Madrugar;Gatuno;-;-
274;Nuzleaf;Clorofila;Madrugar;Gatuno;-;-
275;Shiftry;Clorofila;Madrugar;Gatuno;-;-
276;Taillow;Tenacidade;-;Fragmentado;-;-
277;Swellow;Tenacidade;-;Fragmentado;-;-
278;Wingull;Hidratação;Visão Aguçada;Prato de Chuva;-;-
279;Pelipper;Hidratação;Visão Aguçada;Garoa;Prato de Chuva;-
280;Ralts;Sincronizar;Vestígio;Telepatia;-;-
281;Kirlia;Sincronizar;Vestígio;Telepatia;-;-
282;Gardevoir;Sincronizar;Vestígio;Telepatia;-;-
283;Surskit;Velocidade na Água;-;Prato de Chuva;-;-
284;Masquerain;Velocidade na Água;-;Intimidar;Prato de Chuva;Tensão
285;Shroomish;Esporulação;Veneno Curador;Ligeiro;-;-
286;Breloom;Esporulação;Veneno Curador;Ligeiro;Técnica;-
287;Slakoth;Preguiça;-;-;-;-
288;Vigoroth;Preguiça;-;Espírito Vigoroso;-;-
289;Slaking;Preguiça;-;Espírito Vigoroso;-;-
290;Nincada;Olhos Compostos;-;-;-;-
291;Ninjask;Olhos Compostos;-;Explosão de Velocidade;Infiltrador;-
292;Shedinja;Sem Alma;-;-;-;-
293;Whismur;Cacofonia;-;Covardia;-;-
294;Loudred;Cacofonia;-;Fragmentado;-;-
295;Exploud;Cacofonia;-;Fragmentado;-;-
296;Makuhita;Gordura;Tenacidade;Força Bruta;-;-
297;Hariyama;Gordura;Tenacidade;Força Bruta;-;-
298;Azurill;Gordura;Poder Gigantesco;Absorção de Selva;-;-
299;Nosepass;Ímã;Robustez;Arenoso;-;-
300;Skitty;Normalização;Tentação;Pele Perfeita;-;-
301;Delcaty;Normalização;Tentação;Pele Perfeita;-;-
302;Sableye;Adiamento;Visão Aguçada;Travessura;-;-
303;Mawile;Hipercorte;Intimidar;Força Bruta;-;-
304;Aron;Cabeça Dura;Robustez;Metal Pesado;-;-
305;Lairon;Cabeça Dura;Robustez;Metal Pesado;-;-
306;Aggron;Cabeça Dura;Robustez;Metal Pesado;-;-
307;Meditite;Poder Puro;-;Telepatia;-;-
308;Medicham;Poder Puro;-;Telepatia;-;-
309;Electrike;Eletricidade Estática;Pararraios;Menos;-;-
310;Manectric;Eletricidade Estática;Pararralos;Menos;-;-
311;Plusle;Mais;-;Pararraios;-;-
312;Minun;Menos;-;Absorção de Voltagem;-;-
313;Volbeat;Iluminação;Travessura;Obtusidade;-;-
314;Ilhumise;Obtusidade;Olhos Cromados;Travessura;-;-
315;Roselia;Espículas Venenosas;Recuperação;Proteção Vegetal;-;-
316;Gulpin;Lodo;Viscosidade;Gula;-;-
317;Swalot;Lodo;Viscosidade;Gula;-;-
318;Carvanha;Aspereza;-;Expiosão de Velocidade;-;-
319;Sharpedo;Aspereza;-;Explosão de Velocidade;-;-
320;Wailmer;Obtusidade;Revestimento Aquoso;Pressão;-;-
321;Wailord;Obtusidade;Revestimento Aquoso;Pressão;-;-
322;Numel;Mediocridade;Obtusidade;Ritmo Próprio;-;-
323;Camerupt;Mediocridade;Obtusidade;Frenesi;Revestimento Magnático;Solidez
324;Torkoal;Fumaça;Seca;Concha;-;-
325;Spoink;Gordura;Ritmo Próprio;Gula;-;-
326;Grumpig;Gordura;Ritmo Próprio;Gula;-;-
327;Spinda;Pés Laçados;Ritmo Próprio;Contrário;-;-
328;Trapinch;Áreas de Areia;Hipercorte;Força Bruta;-;-
329;Vibrava;Arena de Areia;Hipercorte;Levitação;-;-
330;Flygon;Arena de Areia;Hipercorte;Levitação;-;-
331;Cacnea;Manto de Areia;-;Absorção de Água;-;-
332;Cacturne;Manto de Areia;-;Absorção de Água;-;-
333;Swablu;Recuperação;-;Aclimatação;-;-
334;Altaria;Recuperação;-;Aclimatação;-;-
335;Zangoose;Metabolização;-;Alucinógeno;-;-
336;Seviper;Troca de Pele;-;Infiltrador;-;-
337;Lunatone;Levitação;-;-;-;-
338;Solrock;Levitação;-;-;-;-
339;Barboach;Antecipação;Obtusidade;Hidratação;-;-
340;Whiscash;Antecipação;Obtusidade;Hidratação;-;-
341;Corphish;Concha;Hipercorte;Adaptabilidade;-;-
342;Crawdaunt;Concha;Hipercorte;Adaptabilidade;-;-
343;Baltoy;Levitação;-;-;-;-
344;Claydol;Levitação;-;-;-;-
345;Lileep;Ventosas;-;Drenagem;-;-
346;Cradily;Ventosas;-;Drenagem;-;-
347;Anorith;Armadura;-;Velocidade na Água;-;-
348;Armaldo;Armadura;-;Velocidade na Água;-;-
349;Feebas;Obtusidade;Velocidade na Água;Adaptabilidade;-;-
350;Milotic;Obtusidade;Velocidade na Água;Competição;Escama Maravilhosa;Tentação
351;Castform;Climatologia;-;-;-;-
352;Kecleon;Coloração;-;Metamorfose;-;-
353;Shuppet;Bisbilhoteiro;Insônia;Anátema;-;-
354;Banette;Bisbilhoteiro;Insônia;Anátema;-;-
355;Duskull;Levitação;-;Bisbilhoteiro;-;-
356;Dusclops;Levitação;-;Bisbilhoteiro;Pressão;-
357;Tropius;Clorofila;Poder Solar;Colheita;-;-
358;Chimecho;Levitação;-;-;-;-
359;Absol;Presão;Sorte;Justiceiro;-;-
360;Wynaut;Identificação;-;Telepatia;-;-
361;Snorunt;Foco Interior;Friorento;Humor Variável;-;-
362;Glaile;-;-;-;-;-
363;Spheal;Friorento;Gordura;Obtusidade;-;-
364;Sealeo;Friorento;Gordura;Obtusidade;-;-
365;Walrein;Friorento;Gordura;Obtusidade;-;-
366;Clamperl;Concha;-;Covardia;-;-
367;Huntail;Concha;-;Revestimento Aquoso;Velocidade na Água;-
368;Gorebyss;Concha;-;Hidratação;Velocidade na Água;-
369;Relicanth;Cabeça Dura;Velocidade na Água;Robustez;-;-
370;Luvdisc;Velocidade na Água;-;Hidratação;-;-
371;Bagon;Cabeça Dura;-;Força Bruta;-;-
372;Shelgon;Cabeça Dura;-;Carapaca;-;-
373;Salamence;Arrogância;Intimidar;-;-;-
374;Beldum;Metal Precioso;-;Metal Leve;-;-
375;Metang;Metal Precioso;-;Metal Leve;-;-
376;Metagross;Metal Precioso;-;Metal Leve;-;-
377;Regirock;Transparência;-;Robustez;-;-
378;Regice;Transparência;-;Friorento;-;-
379;Registeel;Metal Precioso;-;Metal Leve;-;-
380;Latias;Levitação;-;-;-;-
381;Latios;Levitação;-;-;-;-
382;Kyogre;Garoa;-;-;-;-
383;Groudon;Seca;-;-;-;-
384;Rayquaza;Bloqueio Celeste;-;-;-;-
385;Jirachi;Graça Serena;-;-;-;-
386;Deoxys;Pressão;-;-;-;-
387;Turtwig;Concha;-;Foco Interior;-;-
388;Grotle;Concha;-;Foco Interior;-;-
389;Torterra;Concha;-;Foco Interior;-;-
390;Chimchar;Punho de Ferro;-;Gula;-;-
391;Monferno;Punho de Ferro;-;Gula;-;-
392;Infernape;Punho de Ferro;-;Gula;-;-
393;Piplup;Agonista;-;Rivalidade;-;-
394;Prinplup;Agonista;-;Rivalidade;-;-
395;Empoleon;Agonista;-;Rivalidade;-;-
396;Starly;Visão Aguçada;-;Imprudência;-;-
397;Staravia;Visão Aguçada;-;Imprudência;Intimidar;-
398;Staraptor;Visão Aguçada;-;Imprudência;Intimidar;-
399;Bidoof;Desatenção;Mediocridade;Humor Variável;-;-
400;Bibarel;Desatenção;Mediocridade;Humor Variável;-;-
401;Kricketot;Troca de Pele;-;Fuga;-;-
402;Kricketune;Troca de Pele;-;Cacofonia;Técnica;-
403;Shinx;Intimidar;Rivalidade;Tenacidade;-;-
404;Luxio;Intimidar;Rivalidade;Tenacidade;-;-
405;Luxray;Intimidar;Rivalidade;Tenacidade;-;-
406;Budew;Espículas Venenosas;Recuperação;Proteção Vegetal;-;-
407;Roserade;Espículas Venenosas;Recuperação;Proteção Vegetal;Técnica;-
408;Cranidos;Quebra Moldes;-;Força Bruta;-;-
409;Rampardos;Quebra Moldes;-;Força Bruta;-;-
410;Shieldon;Robustez;-;Cacofonia;-;-
411;Bastiodon;Robustez;-;Cacofonia;-;-
412;Burmy;Troca de Pele;-;Carapaça;-;-
413;Wormadam;Troca de Pele;-;Antecipação;Carapaça;-
414;Mothim;Troca de Pele;-;Olhos Compostos;Olhos Cromados;-
415;Combee;Mel;-;Entusiasmo;-;-
416;Vespiquen;Mel;-;Pressão;Tensão;-
417;Pachirisu;Catagem;Fuga;Absorção de Voltagem;-;-
418;Buizel;Velocidade na Água;-;Revestimento Aquoso;-;-
419;Floatzel;Velocidade na Água;-;Revestimento Aquoso;-;-
420;Cherubi;Clorofila;-;-;-;-
421;Cherrim;Clorofila;-;Presente das Flores;-;-
422;Shellos;Drenagem;Viscosidade;Arenoso;-;-
423;Gastrodon;Drenagem;Viscosidade;Arenoso;-;-
424;Ambipom;Catagem;Fuga;Ligação;Técnica;-
425;Drifloon;Leveza;Resquício;Inflamável;-;-
426;Drifblim;Leveza;Resquício;Inflamável;-;-
427;Buneary;Desastrado;Fuga;Elasticidade;-;-
428;Lopunny;Desastrado;Fuga;Elasticidade;Tentação;-
429;Mismagius;Levitação;-;-;-;-
430;Honchkrow;Insônia;Sorte;Arrogância;-;-
431;Glameow;Elasticidade;Ritmo Próprio;Visão Aguçada;-;-
432;Purugly;Elasticidade;Ritmo Próprio;Agonista;Gordura;-
433;Chingling;Levitação;-;-;-;-
434;Stunky;Fedor;Resquício;Visão Aguçada;-;-
435;Skuntank;Fedor;Resquício;Visão Aguçada;-;-
436;Bronzor;Isolamento Térmico;Levitação;Metal Pesado;-;-
